S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Engine Size
4005,Honda City i VTEC VX Option,Kolkata,2014,37000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,13.58,6.45,1497.0
4006,Hyundai i20 Asta Optional with Sunroof 1.2,Mumbai,2012,50000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,10.25,3.7,1197.0
4007,Honda Brio S MT,Chennai,2013,58581,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,6.62,3.49,1198.0
4008,Hyundai i20 Sportz 1.4 CRDi,Kolkata,2013,25500,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5.0,10.25,3.55,1396.0
4009,Maruti Grand Vitara 2.4 MT,Mumbai,2017,25000,Petrol,Manual,First,10.4 kmpl,2393 CC,163.5 bhp,5.0,7.88,9.0,2393.0
4010,Maruti A-Star Vxi,Hyderabad,2011,53766,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,7.88,2.7,998.0
4011,Fiat Punto 1.3 Emotion,Pune,2011,45271,Diesel,Manual,First,20.3 kmpl,,,,8.6,2.6,
4012,Maruti Alto LXi,Chennai,2006,68000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,4.36,1.5,796.0
4013,Mahindra XUV500 W10 2WD,Jaipur,2017,40000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,18.865,15.9,2179.0
4014,Maruti Swift RS VDI,Hyderabad,2013,73212,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,7.88,5.2,1248.0
4015,BMW X1 sDrive20d,Mumbai,2014,69000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,48.18,16.25,1995.0
4016,Volkswagen Passat 2.0 PD DSG,Mumbai,2007,61932,Diesel,Automatic,Second,14.3 kmpl,1968 CC,140 bhp,5.0,10.15,3.31,1968.0
4017,BMW X3 xDrive20d,Bangalore,2012,52000,Diesel,Automatic,First,16.09 kmpl,1995 CC,184 bhp,5.0,69.59,24.0,1995.0
4018,Maruti Ritz VXi,Kolkata,2011,150000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,7.88,2.5,1197.0
4019,Hyundai i20 Sportz 1.4 CRDi,Jaipur,2013,70933,Diesel,Manual,Second,21.9 kmpl,1396 CC,88.76 bhp,5.0,10.25,3.9,1396.0
4020,Maruti Swift VDI BSIV,Kolkata,2013,115195,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,7.88,3.85,1248.0
4021,Mercedes-Benz New C-Class 200 Kompressor,Delhi,2011,62148,Petrol,Manual,First,11.7 kmpl,1796 CC,178 bhp,5.0,49.49,8.8,1796.0
4022,Toyota Corolla Altis 1.8 GL,Chennai,2009,32000,Petrol,Manual,Second,14.28 kmpl,1798 CC,138.03 bhp,5.0,22.66,4.95,1798.0
4023,Hyundai Verna 1.6 SX CRDi (O),Kolkata,2014,58000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,14.255,5.75,1582.0
4024,Renault Duster 110PS Diesel RxZ,Kochi,2014,68598,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,15.05,6.17,1461.0
4025,Maruti Swift Ldi BSIII,Chennai,2010,84072,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,7.88,3.45,1248.0
4026,Maruti Alto K10 VXI,Jaipur,2016,51264,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.24,3.2,998.0
4027,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2017,21363,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,16.06,13.49,1591.0
4028,Mercedes-Benz CLA 200 CGI Sport,Delhi,2016,40000,Petrol,Automatic,First,15.04 kmpl,1991 CC,183 bhp,5.0,41.02,24.5,1991.0
4029,Honda CR-V 2.4 4WD AT,Kolkata,2015,35000,Petrol,Automatic,First,10.1 kmpl,2354 CC,152 bhp,5.0,33.51,14.7,2354.0
4030,Ford Ecosport 1.5 DV5 MT Trend,Hyderabad,2014,55000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,11.685,6.0,1498.0
4031,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Coimbatore,2016,43252,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,86.97,34.18,2143.0
4032,Hyundai Grand i10 CRDi Magna,Delhi,2014,42000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,7.45,3.5,1120.0
4033,Ford Fiesta 1.4 Duratec ZXI,Hyderabad,2006,69000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5.0,11.685,2.15,1388.0
4034,Hyundai Creta 1.6 SX Automatic Diesel,Kolkata,2018,14000,Diesel,Automatic,First,17.6 kmpl,1582 CC,126.2 bhp,5.0,17.0,11.25,1582.0
4035,Maruti A-Star Lxi,Delhi,2010,70000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,7.88,2.0,998.0
4036,Maruti Ritz LDi,Kochi,2015,35314,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,7.88,4.27,1248.0
4037,Honda City i VTEC SV,Kochi,2017,38691,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,13.58,7.68,1497.0
4038,Toyota Innova 2.5 GX (Diesel) 7 Seater,Coimbatore,2017,72717,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,24.01,14.52,2494.0
4039,Mercedes-Benz R-Class R350 4Matic Long,Mumbai,2011,82000,Petrol,Automatic,Second,11.8 kmpl,3498 CC,272 bhp,7.0,49.49,16.85,3498.0
4040,Skoda Rapid 1.5 TDI Elegance,Mumbai,2015,44000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,14.22,5.75,1498.0
4041,Ford Ecosport 1.5 Ti VCT MT Titanium,Mumbai,2017,27000,Petrol,Manual,First,15.8 kmpl,1499 CC,110 bhp,5.0,11.685,8.3,1499.0
4042,Maruti Celerio VXI AT,Chennai,2014,18500,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5.87,3.95,998.0
4043,Volkswagen Vento Petrol Highline,Mumbai,2014,45000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,13.23,4.8,1598.0
4044,Volvo XC60 D5,Ahmedabad,2011,173000,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5.0,45.67,12.0,2400.0
4045,Toyota Etios Cross 1.4 GD,Ahmedabad,2017,42000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5.0,8.525,6.25,1364.0
4046,Tata Indica Vista TDI LX,Jaipur,2012,90000,Diesel,Manual,First,19.4 kmpl,1405 CC,70 bhp,5.0,7.63,2.5,1405.0
4047,Honda City i VTEC CVT VX,Pune,2014,82329,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,13.58,7.5,1497.0
4048,Honda City 1.5 V MT,Delhi,2010,80302,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,13.58,3.5,1497.0
4049,Skoda Octavia Rider Classic 1.9 TDI,Hyderabad,2005,105000,Diesel,Manual,First,18.7 kmpl,1896 CC,66 bhp,5.0,25.83,1.99,1896.0
4050,Toyota Corolla 1.8 J,Kolkata,2009,60000,Petrol,Manual,First,14.53 kmpl,1798 CC,138 bhp,5.0,21.085,2.25,1798.0
4051,Toyota Etios G,Delhi,2014,70000,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5.0,8.525,3.25,1496.0
4052,BMW X1 sDrive20d,Bangalore,2016,45000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,48.18,28.5,1995.0
4053,Honda City ZX CVT,Kolkata,2006,44000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,5.0,13.58,1.5,1497.0
4054,Hyundai i20 Sportz 1.4 CRDi,Delhi,2017,25500,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,10.25,7.0,1396.0
4055,Mercedes-Benz E-Class E350 CDI,Delhi,2014,68000,Diesel,Automatic,First,13.0 kmpl,2987 CC,261.5 bhp,5.0,86.97,27.5,2987.0
4056,Hyundai Creta 1.6 CRDi SX Option,Ahmedabad,2015,61786,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,16.06,10.5,1582.0
4057,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Jaipur,2014,65000,Diesel,Automatic,Second,15.73 kmpl,1968 CC,174.33 bhp,5.0,44.8,21.5,1968.0
4058,Land Rover Discovery Sport TD4 HSE,Delhi,2016,77000,Diesel,Automatic,First,12.63 kmpl,2179 CC,147.5 bhp,5.0,120.0,35.0,2179.0
4059,Skoda Rapid 1.5 TDI AT Elegance Plus,Hyderabad,2015,34000,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,14.22,7.99,1498.0
4060,Maruti Celerio VXI AT,Coimbatore,2015,59751,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5.87,4.88,998.0
4061,Audi RS5 Coupe,Mumbai,2013,23312,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4.0,128.0,40.5,2894.0
4062,Maruti Ciaz ZXi Plus,Mumbai,2015,30000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,11.11,6.55,1373.0
4063,Audi Q5 2.0 TDI Premium Plus,Coimbatore,2015,60146,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,53.14,29.64,1968.0
4064,Ford Figo Diesel Titanium,Coimbatore,2013,44731,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,7.65,4.34,1399.0
4065,Ford Ecosport 1.0 Ecoboost Titanium,Kochi,2014,43316,Petrol,Manual,First,18.88 kmpl,999 CC,123.37 bhp,5.0,11.685,6.22,999.0
4066,Honda City 1.5 S MT,Delhi,2009,92000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,13.58,2.25,1497.0
4067,Jaguar XF 2.2 Litre Luxury,Hyderabad,2015,50000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,69.675,38.0,2179.0
4068,Maruti Swift VXI BSIV,Mumbai,2008,69000,Petrol,Manual,Second,20.4 kmpl,1197 CC,81.80 bhp,5.0,7.88,2.15,1197.0
4069,BMW 5 Series 520d Luxury Line,Coimbatore,2014,60280,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,63.71,22.45,1995.0
4070,Mercedes-Benz B Class B200 CDI,Coimbatore,2017,48161,Diesel,Automatic,First,15.0 kmpl,2143 CC,107.3 bhp,5.0,37.03,20.87,2143.0
4071,Honda Brio S MT,Mumbai,2013,41000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,6.62,3.1,1198.0
4072,Hyundai i20 Sportz 1.2,Mumbai,2016,6000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,10.25,5.95,1197.0
4073,Tata Indica V2 DLG TC,Mumbai,2006,133000,Diesel,Manual,Second,16.8 kmpl,1405 CC,68 bhp,5.0,7.63,0.86,1405.0
4074,Toyota Fortuner 3.0 Diesel,Delhi,2010,76000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,37.17,9.25,2982.0
4075,Hyundai i10 Sportz 1.1L,Mumbai,2011,15590,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,10.25,2.25,1086.0
4076,Hyundai i20 1.2 Sportz Option,Kochi,2016,69681,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,10.25,6.13,1197.0
4077,Maruti Baleno LXI - BSIII,Kochi,2006,70362,Petrol,Manual,Second,15.4 kmpl,1590 CC,,5.0,8.8,1.81,1590.0
4078,Honda Amaze S AT i-Vtech,Pune,2014,49112,Petrol,Automatic,Second,15.5 kmpl,1198 CC,86.7 bhp,5.0,8.54,3.79,1198.0
4079,Land Rover Range Rover 3.0 Diesel LWB Vogue,Hyderabad,2017,25000,Diesel,Automatic,First,13.33 kmpl,2993 CC,255 bhp,5.0,230.0,160.0,2993.0
4080,Toyota Etios Liva GD,Mumbai,2011,74000,Diesel,Manual,First,23.59 kmpl,1364 CC,,5.0,8.525,3.6,1364.0
4081,Hyundai i10 Sportz 1.2 AT,Pune,2013,15200,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5.0,10.25,3.85,1197.0
4082,Volkswagen Polo Diesel Trendline 1.2L,Hyderabad,2013,86300,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,10.15,4.5,1199.0
4083,Maruti Baleno RS Petrol,Coimbatore,2018,26731,Petrol,Manual,First,21.1 kmpl,998 CC,100 bhp,5.0,10.89,8.61,998.0
4084,Hyundai i20 Sportz 1.4 CRDi,Ahmedabad,2016,74000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5.0,10.25,6.5,1396.0
4085,Toyota Corolla H4,Chennai,2005,83929,Petrol,Automatic,First,11.3 kmpl,1794 CC,125 bhp,5.0,21.085,2.6,1794.0
4086,Toyota Innova 2.5 VX (Diesel) 7 Seater,Pune,2015,65000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,24.01,15.0,2494.0
4087,Maruti Celerio VXI AT Optional,Pune,2017,20000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5.87,4.7,998.0
4088,Skoda Octavia Elegance 2.0 TDI AT,Hyderabad,2015,122086,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,25.83,12.99,1968.0
4089,Honda Mobilio S i VTEC,Kochi,2018,35442,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7.0,13.58,7.32,1497.0
4090,Hyundai Verna 1.6 CRDi SX,Delhi,2015,62542,Diesel,Manual,Second,23.9 kmpl,1582 CC,126.2 bhp,5.0,14.255,6.5,1582.0
4091,Honda City 1.5 S MT,Coimbatore,2012,26671,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,13.58,5.67,1497.0
4092,Ford Classic 1.4 Duratorq Titanium,Chennai,2014,83500,Diesel,Manual,Second,19.68 kmpl,1399 CC,67 bhp,5.0,11.685,3.0,1399.0
4093,Maruti Ciaz ZDi,Delhi,2015,46166,Diesel,Manual,Second,26.21 kmpl,1248 CC,88.5 bhp,5.0,11.11,5.5,1248.0
4094,Maruti Wagon R VXI BS IV,Pune,2015,25200,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,5.51,3.35,998.0
4095,Audi A4 3.0 TDI Quattro,Coimbatore,2015,35463,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,53.14,25.02,2967.0
4096,Toyota Camry Hybrid 2.5,Coimbatore,2017,23249,Petrol,Automatic,First,19.16 kmpl,2487 CC,175.67 bhp,5.0,40.62,26.11,2487.0
4097,Hyundai i20 Asta 1.2,Coimbatore,2016,40310,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,10.25,7.09,1197.0
4099,Hyundai Grand i10 1.2 Kappa Asta,Delhi,2018,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.54,6.5,1197.0
4100,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2012,94000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,10.15,4.5,1199.0
4101,BMW X5 xDrive 30d M Sport,Chennai,2016,45000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,5.0,55.07,57.0,2993.0
4102,Volkswagen Polo Petrol Comfortline 1.2L,Kochi,2012,52818,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,10.15,3.82,1198.0
4103,Renault Duster 85PS Diesel RxE,Jaipur,2013,61238,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,15.05,5.25,1461.0
4104,Skoda Superb Style 1.8 TSI AT,Coimbatore,2016,54253,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5.0,30.19,16.81,1798.0
4105,Audi Q5 2.0 TDI,Delhi,2013,71000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,53.14,21.5,1968.0
4106,Maruti Baleno Delta 1.3,Hyderabad,2017,20000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,8.8,8.5,1248.0
4107,Volkswagen Polo Petrol Comfortline 1.2L,Delhi,2013,75000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,10.15,3.25,1198.0
4108,Mitsubishi Pajero Sport 4X4 AT,Coimbatore,2019,11827,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,6.0,33.21,27.11,2477.0
4109,Maruti Ciaz VXi Plus,Mumbai,2015,51579,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,11.11,5.95,1373.0
4110,Renault Duster 85PS Diesel RxL Option,Kochi,2015,65178,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,15.05,6.79,1461.0
4111,Hyundai EON D Lite Plus Option,Mumbai,2016,25350,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,10.25,2.55,814.0
4112,Honda CR-V 2.4 MT,Pune,2008,92000,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5.0,33.51,3.7,2354.0
4113,Hyundai Verna 1.6 SX VTVT,Bangalore,2014,45000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,14.255,6.75,1591.0
4114,Toyota Corolla Altis JS MT,Kolkata,2015,46000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,21.085,6.95,1798.0
4115,Maruti SX4 ZXI MT BSIV,Kochi,2011,79940,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5.0,7.88,2.78,1586.0
4116,Volkswagen Polo Petrol Comfortline 1.2L,Coimbatore,2016,28851,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,10.15,6.18,1198.0
4117,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2015,63000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,53.14,36.0,1968.0
4118,Honda City 1.5 V MT,Coimbatore,2012,77283,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,13.58,5.81,1497.0
4119,Maruti Wagon R VXI,Pune,2014,38958,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5.56,3.41,998.0
4120,Mitsubishi Pajero Sport 4X4 AT,Bangalore,2018,8900,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,6.0,33.21,26.5,2477.0
4121,Skoda Octavia Elegance 1.8 TSI AT,Hyderabad,2015,38000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.5 bhp,5.0,25.83,16.0,1798.0
4122,Hyundai Creta 1.6 CRDi SX Option,Kochi,2017,44887,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,16.06,12.13,1582.0
4123,Maruti Alto LXi BSIII,Hyderabad,2009,85000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,4.36,1.8,796.0
4124,Honda City V MT,Pune,2013,100000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,13.58,6.25,1497.0
4125,Datsun redi-GO S,Chennai,2016,26239,Petrol,Manual,First,22.7 kmpl,799 CC,53 bhp,5.0,4.43,2.75,799.0
4126,Skoda Yeti Ambition 4WD,Pune,2011,97000,Diesel,Manual,First,17.67 kmpl,1968 CC,138.08 bhp,5.0,25.83,6.0,1968.0
4127,Mercedes-Benz B Class B180,Delhi,2013,28000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5.0,37.03,11.56,1595.0
4128,Volkswagen Polo GT TSI,Mumbai,2014,20364,Petrol,Automatic,Second,17.21 kmpl,1197 CC,103.6 bhp,5.0,10.15,5.2,1197.0
4129,Ford EcoSport 1.5 TDCi Titanium,Coimbatore,2014,64637,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,11.685,7.52,1498.0
4130,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,15731,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,16.06,12.49,1591.0
4131,Toyota Fortuner 2.8 2WD MT,Coimbatore,2019,56251,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,37.17,35.82,2755.0
4132,Maruti Swift Dzire ZXI,Chennai,2017,28000,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5.0,7.88,6.25,1197.0
4133,Hyundai i20 1.2 Asta with AVN,Coimbatore,2015,20045,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,10.25,6.22,1197.0
4134,Honda BR-V i-VTEC S MT,Bangalore,2016,34004,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,7.0,12.9,8.02,1497.0
4135,Maruti Celerio ZXI,Mumbai,2014,21000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5.87,3.75,998.0
4136,Mercedes-Benz E-Class 2009-2013 E350 Petrol,Mumbai,2009,68001,Petrol,Automatic,Second,10.93 kmpl,3498 CC,272 bhp,5.0,86.97,11.75,3498.0
4137,Hyundai i10 Magna 1.2 iTech SE,Kolkata,2012,31000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,10.25,2.25,1197.0
4138,Toyota Etios Liva V,Mumbai,2013,8950,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,8.525,3.55,1197.0
4139,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Coimbatore,2017,43477,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,5.0,86.97,38.15,2143.0
4140,Hyundai EON D Lite Plus,Ahmedabad,2015,20000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,10.25,2.66,814.0
4142,Honda City 1.5 S MT,Bangalore,2011,60000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,13.58,4.95,1497.0
4143,Mercedes-Benz S-Class 280 AT,Chennai,2003,111000,Petrol,Automatic,First,13.0 kmpl,2987 CC,210 bhp,5.0,171.0,6.5,2987.0
4144,Tata Indigo CS eVX,Pune,2016,52000,Diesel,Manual,Second,25.0 kmpl,1396 CC,69.01 bhp,5.0,7.63,2.4,1396.0
4145,Hyundai Creta 1.6 VTVT S,Pune,2016,26000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,16.06,12.5,1591.0
4146,Maruti Wagon R LXI BS IV,Pune,2013,32425,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,5.51,3.0,998.0
4147,Maruti Dzire VDI,Kochi,2017,54758,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,8.58,6.67,1248.0
4148,Ford Ikon 1.3 Flair,Coimbatore,2008,59833,Petrol,Manual,Fourth & Above,13.8 kmpl,1299 CC,70 bhp,5.0,11.685,1.97,1299.0
4149,Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2013,30000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,10.15,2.8,1198.0
4150,Hyundai i10 Magna 1.2,Jaipur,2011,40496,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,10.25,2.65,1197.0
4151,Chevrolet Enjoy 1.3 TCDi LTZ 8,Chennai,2014,45000,Diesel,Manual,First,18.2 kmpl,1248 CC,73.74 bhp,8.0,11.3,4.75,1248.0
4152,Land Rover Range Rover 3.0 D,Mumbai,2003,75000,Diesel,Automatic,Second,0.0 kmpl,,,,120.0,16.11,
4153,Mercedes-Benz E-Class 200 Kompressor Elegance,Bangalore,2011,34000,Petrol,Automatic,Second,10.5 kmpl,1796 CC,157.7 bhp,5.0,86.97,19.0,1796.0
4154,Maruti Swift Vdi BSIII,Bangalore,2012,62000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,7.88,4.5,1248.0
4155,Mahindra XUV500 W8 4WD,Hyderabad,2012,123600,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,18.865,8.25,2179.0
4156,Toyota Etios Liva G,Pune,2014,80102,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,8.525,3.5,1197.0
4157,Mahindra XUV500 W8 4WD,Pune,2013,55000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,18.865,8.5,2179.0
4158,Hyundai Creta 1.6 VTVT S,Hyderabad,2015,48200,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,16.06,9.0,1591.0
4159,Honda City i DTEC SV,Hyderabad,2014,90000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,13.58,6.75,1498.0
4160,Maruti Swift Dzire VDi,Hyderabad,2014,123900,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,7.88,5.4,1248.0
4161,Maruti Wagon R LXI BS IV,Delhi,2015,13008,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,5.51,3.5,998.0
4162,Hyundai EON Era Plus,Hyderabad,2012,60500,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,10.25,2.6,814.0
4163,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2017,53841,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,28.05,20.5,2755.0
4164,Hyundai Creta 1.6 SX Option,Kochi,2017,47183,Petrol,Manual,Second,15.8 kmpl,1591 CC,121.3 bhp,5.0,15.86,11.31,1591.0
4165,Maruti Wagon R VXI Plus,Kolkata,2018,10000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,5.51,4.5,998.0
4166,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2015,45000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7.0,49.49,56.0,2987.0
4167,Maruti Celerio VXI,Kochi,2017,3923,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5.87,5.2,998.0
4168,Mahindra Scorpio SLE BSIV,Delhi,2011,85000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,18.865,5.25,2179.0
4169,Datsun redi-GO T Option,Kochi,2018,6279,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5.0,4.05,3.6,799.0
4170,Fiat Grande Punto EVO 1.3 Active,Pune,2014,74500,Diesel,Manual,First,21.2 kmpl,1248 CC,75 bhp,5.0,9.075,3.3,1248.0
4171,Hyundai Elantra CRDi SX,Kolkata,2013,42000,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,21.77,5.85,1582.0
4172,Maruti Swift Dzire LXI,Delhi,2014,56510,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,7.88,3.9,1197.0
4173,Audi A4 2.0 TDI Multitronic,Delhi,2009,88000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,53.14,7.98,1968.0
